abilities;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water;attack;base_egg_steps;base_happiness;base_total;capture_rate;classfication;defense;experience_growth;height_m;hp;japanese_name;english_name;french_name;percentage_male;pokedex_number;sp_attack;sp_defense;speed;type1;type2;weight_kg;generation;is_legendary
Overgrow, Chlorophyll;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;49;5120;70;318;45;Seed Pokemon;49;1059860;0.7;45;Fushigidane?????;Bulbasaur;Bulbizarre;88.1;1;65;65;45;grass;poison;6.9;1;0
Overgrow, Chlorophyll;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;62;5120;70;405;45;Seed Pokemon;63;1059860;1.0;60;Fushigisou?????;Ivysaur;Herbizarre;88.1;2;80;80;60;grass;poison;13.0;1;0
Overgrow, Chlorophyll;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;100;5120;70;625;45;Seed Pokemon;123;1059860;2.0;80;Fushigibana?????;Venusaur;Florizarre;88.1;3;122;120;80;grass;poison;100.0;1;0
Blaze, Solar Power;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;52;5120;70;309;45;Lizard Pokemon;43;1059860;0.6;39;Hitokage????;Charmander;Salamèche;88.1;4;60;50;65;fire;;8.5;1;0
Blaze, Solar Power;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;64;5120;70;405;45;Flame Pokemon;58;1059860;1.1;58;Lizardo????;Charmeleon;Reptincel;88.1;5;80;65;80;fire;;19.0;1;0
Blaze, Solar Power;0.25;1;1;2;0.5;0.5;0.5;1;1;0.25;0;1;1;1;1;4;0.5;2;104;5120;70;634;45;Flame Pokemon;78;1059860;1.7;78;Lizardon?????;Charizard;Dracaufeu;88.1;6;159;115;100;fire;flying;90.5;1;0
Torrent, Rain Dish;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;48;5120;70;314;45;Tiny Turtle Pokemon;65;1059860;0.5;44;Zenigame????;Squirtle;Carapuce;88.1;7;50;64;43;water;;9.0;1;0
Torrent, Rain Dish;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;63;5120;70;405;45;Turtle Pokemon;80;1059860;1.0;59;Kameil????;Wartortle;Carabaffe;88.1;8;65;80;58;water;;22.5;1;0
Torrent, Rain Dish;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;103;5120;70;630;45;Shellfish Pokemon;120;1059860;1.6;79;Kamex?????;Blastoise;Tortank;88.1;9;135;115;78;water;;85.5;1;0
Shield Dust, Run Away;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;30;3840;70;195;255;Worm Pokemon;35;1000000;0.3;45;Caterpie?????;Caterpie;Chenipan;50;10;20;20;45;bug;;2.9;1;0
Shed Skin;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;20;3840;70;205;120;Cocoon Pokemon;55;1000000;0.7;50;Transel?????;Metapod;Chrysacier;50;11;25;25;30;bug;;9.9;1;0
Compoundeyes, Tinted Lens;0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;45;3840;70;395;45;Butterfly Pokemon;50;1000000;1.1;60;Butterfree?????;Butterfree;Papilusion;50;12;90;80;70;bug;flying;32.0;1;0
Shield Dust, Run Away;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;35;3840;70;195;255;Hairy Pokemon;30;1000000;0.3;40;Beedle????;Weedle;Aspicot;50;13;20;20;50;bug;poison;3.2;1;0
Shed Skin;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;25;3840;70;205;120;Cocoon Pokemon;50;1000000;0.6;45;Cocoon????;Kakuna;Coconfort;50;14;25;25;35;bug;poison;10.0;1;0
Swarm, Sniper;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;150;3840;70;495;45;Poison Bee Pokemon;40;1000000;1.0;65;Spear????;Beedrill;Dardargnan;50;15;15;80;145;bug;poison;29.5;1;0
Keen Eye, Tangled Feet, Big Pecks;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;45;3840;70;251;255;Tiny Bird Pokemon;40;1059860;0.3;40;Poppo???;Pidgey;Roucool;50;16;35;35;56;normal;flying;1.8;1;0
Keen Eye, Tangled Feet, Big Pecks;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;60;3840;70;349;120;Bird Pokemon;55;1059860;1.1;63;Pigeon????;Pidgeotto;Roucoups;50;17;50;50;71;normal;flying;30.0;1;0
Keen Eye, Tangled Feet, Big Pecks;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;80;3840;70;579;45;Bird Pokemon;80;1059860;1.5;83;Pigeot?????;Pidgeot;Roucarnage;50;18;135;80;121;normal;flying;39.5;1;0
Run Away, Guts, Hustle, Gluttony, Hustle, Thick Fat;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;56;3840;70;253;255;Mouse Pokemon;35;1000000;;30;Koratta????;Rattata;Rattata;50;19;25;35;72;normal;dark;;1;0
Run Away, Guts, Hustle, Gluttony, Hustle, Thick Fat;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;71;3840;70;413;127;Mouse Pokemon;70;1000000;;75;Ratta???;Raticate;Rattatac;50;20;40;80;77;normal;dark;;1;0
Keen Eye, Sniper;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;60;3840;70;262;255;Tiny Bird Pokemon;30;1000000;0.3;40;Onisuzume?????;Spearow;Piafabec;50;21;31;31;70;normal;flying;2.0;1;0
Keen Eye, Sniper;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;90;3840;70;442;90;Beak Pokemon;65;1000000;1.2;65;Onidrill?????;Fearow;Rapasdepic;50;22;61;61;100;normal;flying;38.0;1;0
Intimidate, Shed Skin, Unnerve;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;60;5120;70;288;255;Snake Pokemon;44;1000000;2.0;35;Arbo???;Ekans;Abo;50;23;40;54;55;poison;;6.9;1;0
Intimidate, Shed Skin, Unnerve;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;95;5120;70;448;90;Cobra Pokemon;69;1000000;3.5;60;Arbok?????;Arbok;Arbok;50;24;65;79;80;poison;;65.0;1;0
Static, Lightningrod;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;55;2560;70;320;190;Mouse Pokemon;40;1000000;0.4;35;Pikachu?????;Pikachu;Pikachu;50;25;50;50;90;electric;;6.0;1;0
Static, Lightningrod, Surge Surfer;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;85;2560;70;485;75;Mouse Pokemon;50;1000000;;60;Raichu?????;Raichu;Raichu;50;26;95;85;110;electric;electric;;1;0
